game,pool,guarantee,condition,budget,tickets,coverage_pct,pool_3_pct,ticket_3_pct,pool_4_pct,ticket_4_pct,jackpot_main_pct,ticket_4_of_all6_pct
6/49,12,4,4,0,41,100.0,14.797806264041233,14.797806264041233,2.57367516849478,2.57367516849478,0.00029319607752275917,
6/49,12,4,4,7,7,20.4,14.797806264041233,8.465335928333154,2.57367516849478,0.6066369866422727,5.005786689412961e-05,
6/49,12,4,5,0,15,100.0,14.797806264041233,13.908778548001491,2.57367516849478,1.2544215398715202,0.00010726685763027775,
6/49,13,3,3,0,21,100.0,18.16770186335404,18.16770186335404,3.564820932998546,1.6129073780719083,0.00015017360068238884,
6/49,13,4,4,0,79,100.0,18.16770186335404,18.16770186335404,3.564820932998546,3.564820932998546,0.0005649387835194627,
6/49,13,4,4,7,7,14.13,18.16770186335404,8.72486451480769,3.564820932998546,0.6141027599333401,5.005786689412961e-05,
6/49,13,4,5,0,26,100.0,18.16770186335404,17.759229669497937,3.564820932998546,1.9429460456287468,0.00018592921989248144,
6/49,14,3,3,0,25,100.0,21.81842209594291,21.81842209594291,4.781727677194837,1.9930039125228765,0.0001787780960504629,
6/49,14,4,4,0,110,100.0,21.81842209594291,21.81842209594291,4.781727677194837,4.781727677194837,0.0007866236226220368,
6/49,14,4,4,7,7,10.29,21.81842209594291,9.025519214497674,4.781727677194837,0.6277399531000695,5.005786689412961e-05,
6/49,14,4,5,0,37,100.0,21.81842209594291,21.39718514602881,4.781727677194837,2.560660123102306,0.0002645915821546851,
6/49,15,3,3,0,38,100.0,25.712523677371042,25.712523677371042,6.2420157702303865,2.9195321219901635,0.00027174270599670365,
6/49,15,4,4,0,146,100.0,25.712523677371042,25.712523677371042,6.2420157702303865,6.2420157702303865,0.0010440640809347033,
6/49,15,4,4,7,7,7.69,25.712523677371042,9.325673335518717,6.2420157702303865,0.6414915642482709,5.005786689412961e-05,
6/49,15,4,5,0,50,100.0,25.712523677371042,25.62693902722976,6.2420157702303865,3.465863681272694,0.0003575561921009258,
6/49,16,3,3,0,45,100.0,29.809259503986606,29.809259503986606,7.960001762036914,3.477427048525238,0.0003218005728908332,
6/49,16,4,4,0,194,100.0,29.809259503986606,29.809259503986606,7.960001762036914,7.960001762036914,0.0013873180253515922,
6/49,16,4,4,7,7,5.77,29.809259503986606,9.748469230430377,7.960001762036914,0.6526544685656619,5.005786689412961e-05,
6/49,16,4,5,0,65,100.0,29.809259503986606,29.809259503986606,7.960001762036914,4.3918770098233555,0.0004648230497312036,
5/40,6,3,3,0,4,100.0,1.7835649414596784,1.7835649414596784,0.07841849947113105,0.07325138904086272,0.0006078953447374501,0.20995836785310468
5/40,6,4,4,0,5,100.0,1.7835649414596784,1.7835649414596784,0.07841849947113105,0.07841849947113105,0.0007598691809218125,0.2245739087844351
5/40,6,4,4,7,5,100.0,1.7835649414596784,1.7835649414596784,0.07841849947113105,0.07841849947113105,0.0007598691809218125,0.2245739087844351
5/40,6,4,5,0,1,100.0,1.7835649414596784,0.9309917204654047,0.07841849947113105,0.026747395168447798,0.00015197383618436252,0.07841849947113105
5/40,7,3,3,0,5,100.0,2.987197724039829,2.987197724039829,0.17872123135281032,0.11853959222380275,0.0007598691809218125,0.33462033462033464
5/40,7,4,4,0,9,100.0,2.987197724039829,2.987197724039829,0.17872123135281032,0.17872123135281032,0.0013677645256592625,0.4996899733741839
5/40,7,4,4,7,7,82.86,2.987197724039829,2.987197724039829,0.17872123135281032,0.14863041178830652,0.0010638168532905374,0.4171551539972593
5/40,7,4,5,0,3,100.0,2.987197724039829,2.345260239997082,0.17872123135281032,0.07841849947113105,0.00045592150855308753,0.2245739087844351
5/40,8,3,3,0,8,100.0,4.570157201736149,4.570157201736149,0.3489319278792963,0.2030370451423083,0.0012157906894749001,0.5643005643005643
5/40,8,4,4,0,20,100.0,4.570157201736149,4.570157201736149,0.3489319278792963,0.3489319278792963,0.00303947672368725,0.9519641098588468
5/40,8,4,4,7,7,44.29,4.570157201736149,3.740987951514267,0.3489319278792963,0.15866068497647445,0.0010638168532905374,0.44466676045623416
5/40,8,4,5,0,5,100.0,4.570157201736149,3.213334792282161,0.3489319278792963,0.1155001155001155,0.0007598691809218125,0.33170243696559487
5/40,9,3,3,0,12,100.0,6.548856548856549,6.548856548856549,0.6127585074953497,0.29650095439569124,0.0018236860342123501,0.8154742365268681
5/40,9,4,4,0,30,100.0,6.548856548856549,6.548856548856549,0.6127585074953497,0.6127585074953497,0.004559215085530875,1.6303753145858408
5/40,9,4,4,7,7,27.78,6.548856548856549,4.30161943319838,0.6127585074953497,0.17811333600807286,0.0010638168532905374,0.4963552331973385
5/40,9,4,5,0,9,100.0,6.548856548856549,5.700842542947806,0.6127585074953497,0.23115220483641538,0.0013677645256592625,0.6491019648914386
5/40,10,3,3,0,17,100.0,8.928766823503667,8.928766823503667,0.995732574679943,0.4199037093773936,0.0025835552151341626,1.1473590420958841
5/40,10,4,4,0,51,100.0,8.928766823503667,8.928766823503667,0.995732574679943,0.995732574679943,0.007750665645402487,2.5823394244446876
5/40,10,4,4,7,7,16.19,8.928766823503667,4.269249006091112,0.995732574679943,0.1726422779054358,0.0010638168532905374,0.4801504801504802
5/40,10,4,5,0,14,100.0,8.928766823503667,7.9371375424007,0.995732574679943,0.35744246270562063,0.0021276337065810748,0.995732574679943
5/40,11,3,3,0,20,100.0,11.705328810591968,11.705328810591968,1.5246015246015245,0.5063768221662959,0.00303947672368725,1.396161922477712
5/40,11,4,4,0,66,100.0,11.705328810591968,11.705328810591968,1.5246015246015245,1.5246015246015245,0.010030273188167925,3.8516249042564827
5/40,11,4,4,7,7,10.61,11.705328810591968,4.514230830020304,1.5246015246015245,0.17841728368044157,0.0010638168532905374,0.49802260328576115
5/40,11,4,5,0,25,100.0,11.705328810591968,11.335120545646861,1.5246015246015245,0.599080862238757,0.003799345904609062,1.6303753145858408
5/40,12,3,3,0,30,100.0,14.864864864864865,14.864864864864865,2.2267206477732793,0.7436079804500857,0.004559215085530875,2.0173614910457016
5/40,12,4,4,0,113,100.0,14.864864864864865,14.864864864864865,2.2267206477732793,2.2267206477732793,0.017173043488832963,5.476529160739687
5/40,12,4,4,7,7,7.07,14.864864864864865,4.67957836378889,2.2267206477732793,0.17932912669754775,0.0010638168532905374,0.5028944502628714
5/40,12,4,5,0,41,100.0,14.864864864864865,14.749972644709485,2.2267206477732793,0.9246088193456615,0.006230927283558863,2.4630703578072
5/40,13,3,3,0,37,100.0,18.385490753911807,18.385490753911807,3.1294452347083923,0.9247607931818459,0.005623031938821413,2.5130133024869865
5/40,13,4,4,0,180,100.0,18.385490753911807,18.385490753911807,3.1294452347083923,3.1294452347083923,0.02735529051318525,7.4883153830522255
5/40,13,4,4,7,7,4.9,18.385490753911807,4.742647505805401,3.1294452347083923,0.17811333600807286,0.0010638168532905374,0.4968241810347073
5/40,13,4,5,0,62,100.0,18.385490753911807,18.385490753911807,3.1294452347083923,1.344512528723055,0.009422377843430476,3.5104653525706158
5/40,14,3,3,0,48,100.0,22.238027501185396,22.238027501185396,4.259522680575312,1.1945143524090893,0.0072947441368494004,3.216747690431901
5/40,14,4,4,0,252,100.0,22.238027501185396,22.238027501185396,4.259522680575312,4.259522680575312,0.038297406718459354,9.90990990990991
5/40,14,4,4,7,7,3.5,22.238027501185396,4.8016133542449335,4.259522680575312,0.1782653098442572,0.0010638168532905374,0.4976839187365504
5/40,14,4,5,0,87,100.0,22.238027501185396,22.238027501185396,4.259522680575312,1.8571202781729097,0.013221723748039538,4.761904761904762
5/40,15,3,3,0,61,100.0,26.386913229018493,26.386913229018493,5.6424845898530105,1.513051513051513,0.009270404007246113,4.066038276564592
5/40,15,4,4,0,341,100.0,26.386913229018493,26.386913229018493,5.6424845898530105,5.6424845898530105,0.05182307813886761,12.754860123281176
5/40,15,4,4,7,7,2.56,26.386913229018493,4.865138417769996,5.6424845898530105,0.1803929435508383,0.0010638168532905374,0.5093034040402461
5/40,15,4,5,0,129,100.0,26.386913229018493,26.386913229018493,5.6424845898530105,2.618205249784197,0.019604624867782763,6.533485480853902
5/40,16,3,3,0,77,100.0,30.791115001641316,30.791115001641316,7.302038880986249,1.8989130831236094,0.011701985386195912,5.042335568651358
5/40,16,4,4,0,461,100.0,30.791115001641316,30.791115001641316,7.302038880986249,7.302038880986249,0.07005993848099111,16.026552868658133
5/40,16,4,4,7,7,1.92,30.791115001641316,5.137475532212375,7.302038880986249,0.18221662958505064,0.0010638168532905374,0.519073150652098
5/40,16,4,5,0,170,100.0,30.791115001641316,30.791115001641316,7.302038880986249,3.417587628113944,0.025835552151341624,8.368634684424157
joker,6,3,3,0,4,100.0,1.2613780622856061,1.2613780622856061,0.048372878775601404,0.04518075987162771,0.00032739681066396893,
joker,6,4,4,0,5,100.0,1.2613780622856061,1.2613780622856061,0.048372878775601404,0.048372878775601404,0.0004092460133299611,
joker,6,4,4,7,5,100.0,1.2613780622856061,1.2613780622856061,0.048372878775601404,0.048372878775601404,0.0004092460133299611,
joker,6,4,5,0,1,100.0,1.2613780622856061,0.6548754705306038,0.048372878775601404,0.016451689735864437,8.184920266599223e-05,
joker,7,3,3,0,5,100.0,2.124477904398494,2.124477904398494,0.11057827280175549,0.07325503638606304,0.0004092460133299611,
joker,7,4,4,0,9,100.0,2.124477904398494,2.124477904398494,0.11057827280175549,0.11057827280175549,0.0007366428239939301,
joker,7,4,4,7,7,82.86,2.124477904398494,2.124477904398494,0.11057827280175549,0.09191665459390928,0.0005729444186619456,
joker,7,4,5,0,3,100.0,2.124477904398494,1.664157988604954,0.11057827280175549,0.048372878775601404,0.0002455476079979767,
joker,8,3,3,0,8,100.0,3.2692208528850615,3.2692208528850615,0.21657299025421542,0.12572037529496408,0.0006547936213279379,
joker,8,4,4,0,20,100.0,3.2692208528850615,3.2692208528850615,0.21657299025421542,0.21657299025421542,0.0016369840533198444,
joker,8,4,4,7,7,44.29,3.2692208528850615,2.6695935941540028,0.21657299025421542,0.0981371939965247,0.0005729444186619456,
joker,8,4,5,0,5,100.0,3.2692208528850615,2.2880126113251467,0.21657299025421542,0.07120880631941323,0.0004092460133299611,
joker,9,3,3,0,12,100.0,4.713040787913165,4.713040787913165,0.3815809828288558,0.18383330918781857,0.0009821904319919068,
joker,9,4,4,0,30,100.0,4.713040787913165,4.713040787913165,0.3815809828288558,0.3815809828288558,0.002455476079979767,
joker,9,4,4,7,7,27.78,4.713040787913165,3.248594853813232,0.3815809828288558,0.11057827280175549,0.0005729444186619456,
joker,9,4,5,0,9,100.0,4.713040787913165,4.094260815758263,0.3815809828288558,0.14290870785482243,0.0007366428239939301,
joker,10,3,3,0,17,100.0,6.466250709018719,6.466250709018719,0.622217638666873,0.26052601208585324,0.0013914364453218677,
joker,10,4,4,0,51,100.0,6.466250709018719,6.466250709018719,0.622217638666873,0.622217638666873,0.004174309335965604,
joker,10,4,4,7,7,16.19,6.466250709018719,3.0675444175160567,0.622217638666873,0.10705875708711783,0.0005729444186619456,
joker,10,4,5,0,14,100.0,6.466250709018719,5.735746575224737,0.622217638666873,0.22115654560351097,0.0011458888373238913,
joker,11,3,3,0,20,100.0,8.532533830321693,8.532533830321693,0.9561623855441213,0.31364614461608226,0.0016369840533198444,
joker,11,4,4,0,66,100.0,8.532533830321693,8.532533830321693,0.9561623855441213,0.9561623855441213,0.005402047375955487,
joker,11,4,4,7,7,10.61,8.532533830321693,3.234189394144017,0.9561623855441213,0.11041457439642352,0.0005729444186619456,
joker,11,4,5,0,25,100.0,8.532533830321693,8.257029414147961,0.9561623855441213,0.3717590785089367,0.002046230066649806,
joker,12,3,3,0,30,100.0,10.909434675742107,10.909434675742107,1.401831294060449,0.4614658046308642,0.002455476079979767,
joker,12,4,4,0,113,100.0,10.909434675742107,10.909434675742107,1.401831294060449,1.401831294060449,0.009248959901257122,
joker,12,4,4,7,7,7.07,10.909434675742107,3.4717976294833925,1.401831294060449,0.11156046323374741,0.0005729444186619456,
joker,12,4,5,0,41,100.0,10.909434675742107,10.823001917726819,1.401831294060449,0.5753180455392594,0.0033558173093056814,
joker,13,3,3,0,37,100.0,13.588850174216027,13.588850174216027,1.9780496808290342,0.5733536646752756,0.0030284204986417125,
joker,13,4,4,0,180,100.0,13.588850174216027,13.588850174216027,1.9780496808290342,1.9780496808290342,0.014732856479878601,
joker,13,4,4,7,7,4.9,13.588850174216027,3.5194338654349995,1.9780496808290342,0.11156046323374741,0.0005729444186619456,
joker,13,4,5,0,62,100.0,13.588850174216027,13.588850174216027,1.9780496808290342,0.8387087797184225,0.0050746505652915185,
joker,14,3,3,0,48,100.0,16.557520754911568,16.557520754911568,2.7037247116657213,0.7411445301405597,0.003928761727967627,
joker,14,4,4,0,252,100.0,16.557520754911568,16.557520754911568,2.7037247116657213,2.7037247116657213,0.02062599907183004,
joker,14,4,4,7,7,3.5,16.557520754911568,3.4157309256571877,2.7037247116657213,0.11139676482841543,0.0005729444186619456,
joker,14,4,5,0,87,100.0,16.557520754911568,16.557520754911568,2.7037247116657213,1.1610309398170997,0.007120880631941324,
joker,15,3,3,0,61,100.0,19.797521442444868,19.797521442444868,3.5975180047783564,0.9380737117549369,0.004992801362625527,
joker,15,4,4,0,343,100.0,19.797521442444868,19.797521442444868,3.5975180047783564,3.5975180047783564,0.028074276514435337,
joker,15,4,4,7,7,2.56,19.797521442444868,3.711779491700082,3.5975180047783564,0.11254265366573932,0.0005729444186619456,
joker,15,4,5,0,129,100.0,19.797521442444868,19.797521442444868,3.5975180047783564,1.642959045114462,0.010558547143912998,
joker,16,3,3,0,77,100.0,23.28675295209612,23.28675295209612,4.677518233956124,1.178628518390288,0.006302388605281401,
joker,16,4,4,0,452,100.0,23.28675295209612,23.28675295209612,4.677518233956124,4.677518233956124,0.03699583960502849,
joker,16,4,4,7,7,1.92,23.28675295209612,3.7320780939612477,4.677518233956124,0.11254265366573932,0.0005729444186619456,
joker,16,4,5,0,170,100.0,23.28675295209612,23.28675295209612,4.677518233956124,2.149605609616954,0.013914364453218678,
